"lot_number","qc_name","analyte","concentration","unit","qc_type","manufacturer","cat_number","expiration_date","preparation_date","note"
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","IL-8(HA)","22600","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","MCP-1","72.7","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","MDC","2060","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0766","V-PLEX Chemokine P1 QC2 (M)","MCP-4","234","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","Eotaxin","196","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","MIP-1b","20.6","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","Eotaxin-3","74.3","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","TARC","42.6","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","IP-10","15.4","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","MIP-1a","166","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","IL-8(HA)","8620","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","MCP-1","12.1","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","MDC","869","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"A00C0778","V-PLEX Chemokine P1 QC3 (L)","MCP-4","74.6","pg/ml","Purchased","Mesoscale","C4047-1","2026-03-31","",""
"Prep20220930_Calprotectin-H","R-PLEX Calprotectin QC1 (H)","Calprotectin","22222.22","pg/ml","Home made","","Ry_MSD_QC_Calprotectin","2024-10-31","2022-09-30",""
"Prep20220930_Calprotectin-M","R-PLEX Calprotectin QC2 (M)","Calprotectin","2222.22","pg/ml","Home made","","Ry_MSD_QC_Calprotectin","2024-10-31","2022-09-30",""
"Prep20220930_Calprotectin-L","R-PLEX Calprotectin QC3 (L)","Calprotectin","222.22","pg/ml","Home made","","Ry_MSD_QC_Calprotectin","2024-10-31","2022-09-30",""
"Y-016518","ELISA B2M QC1 (H)","B2M","1.69","mg/L","Purchased","BioVendor","D1405","","",""
"Y-016518(1/2)","ELISA B2M QC2 (M)","B2M","0.845","mg/L","Home made","","D1405(1/2)","","",""
"Y-016519","ELISA B2M QC3 (L)","B2M","0.27","mg/L","Purchased","BioVendor","D1406","","",""
"Prep20221024_HLAE-H","ELISA HLA-E QC1 (H)","HLA-E","150","pg/ml","Home made","","","","2022-10-24",""
"Prep20221024_HLAE-M","ELISA HLA-E QC2 (M)","HLA-E","40","pg/ml","Home made","","","","2022-10-24",""
"Prep20221024_HLAE-L","ELISA HLA-E QC3 (L)","HLA-E","20","pg/ml","Home made","","","","2022-10-24",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","GM-CSF","456","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-1a","167","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-5","340","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-7","363","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-12/23p40","951","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-15","297","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-16","1020","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","IL-17A","2360","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","TNF-b","279","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0837","V-PLEX Cytokine P1 QC1 (H)","VEGF","431","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","GM-CSF","71.8","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-1a","58.8","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-5","117","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-7","65.1","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-12/23p40","210","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-15","48.8","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-16","318","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","IL-17A","335","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","TNF-b","43.6","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0838","V-PLEX Cytokine P1 QC2 (M)","VEGF","144","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","GM-CSF","11","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-1a","16.3","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-5","34.7","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-7","8.99","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-12/23p40","33.4","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-15","8.63","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-16","109","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","IL-17A","45.4","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","TNF-b","6.08","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0839","V-PLEX Cytokine P1 QC3 (L)","VEGF","47.3","pg/ml","Purchased","Mesoscale","C4050-1","2027-06-30","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IFN-g","496","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-1b","222","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-2","370","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-4","89.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-6","264","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-8","228","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-10","133","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-12p70","131","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","IL-13","148","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0818","V-PLEX Proinfammatory P1  QC1 (H)","TNF-a","90.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IFN-g","138","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-1b","54","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-2","37.2","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-4","19.1","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-6","46.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-8","36.2","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-10","26.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-12p70","28.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","IL-13","45.2","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0819","V-PLEX Proinfammatory P1  QC2 (M)","TNF-a","15.1","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IFN-g","30","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-1b","10.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-2","2.89","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-4","2.48","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-6","7.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-8","5.39","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-10","3.47","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-12p70","7.7","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","IL-13","11.7","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0820","V-PLEX Proinfammatory P1  QC3 (L)","TNF-a","1.85","pg/ml","Purchased","Mesoscale","C4049-1","2027-01-31","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","Eotaxin","1770","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","MIP-1b","968","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","Eotaxin-3","5420","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","TARC","1640","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","IP-10","771","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","MIP-1a","1030","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","IL-8(HA)","61000","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","MCP-1","470","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","MDC","4660","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0811","V-PLEX Chemokine P1 QC1 (H)","MCP-4","568","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","Eotaxin","632","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","MIP-1b","164","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","Eotaxin-3","647","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","TARC","274","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","IP-10","116","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","MIP-1a","397","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","IL-8(HA)","21400","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","MCP-1","75.2","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","MDC","2000","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0812","V-PLEX Chemokine P1 QC2 (M)","MCP-4","226","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","Eotaxin","195","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","MIP-1b","28.4","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","Eotaxin-3","93.4","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","TARC","43.3","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","IP-10","17.3","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","MIP-1a","165","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","IL-8(HA)","8060","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","MCP-1","11.8","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","MDC","937","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0813","V-PLEX Chemokine P1 QC3 (L)","MCP-4","75.3","pg/ml","Purchased","Mesoscale","C4047-1","2026-11-30","",""
"A00C0789","V-PLEX Vascular Injury P2 QC1 (H)","SAA","48300","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0789","V-PLEX Vascular Injury P2 QC1 (H)","CRP","23500","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0789","V-PLEX Vascular Injury P2 QC1 (H)","VCAM-1","13100","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0789","V-PLEX Vascular Injury P2 QC1 (H)","ICAM-1","12200","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0790","V-PLEX Vascular Injury P2 QC2 (M)","SAA","4920","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0790","V-PLEX Vascular Injury P2 QC2 (M)","CRP","4530","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0790","V-PLEX Vascular Injury P2 QC2 (M)","VCAM-1","1160","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0790","V-PLEX Vascular Injury P2 QC2 (M)","ICAM-1","1300","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0791","V-PLEX Vascular Injury P2 QC3 (L)","SAA","856","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0791","V-PLEX Vascular Injury P2 QC3 (L)","CRP","550","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0791","V-PLEX Vascular Injury P2 QC3 (L)","VCAM-1","152","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0791","V-PLEX Vascular Injury P2 QC3 (L)","ICAM-1","159","pg/ml","Purchased","Mesoscale","C4198-1","2024-02-29","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IFN-g","510","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-1b","223","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-2","403","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-4","105","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-6","265","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-8","251","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-10","139","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-12p70","183","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","IL-13","163","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0840","V-PLEX Proinfammatory P1  QC1 (H)","TNF-a","84.1","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IFN-g","136","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-1b","53.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-2","39.5","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-4","20.9","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-6","48.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-8","39.2","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-10","26.4","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-12p70","32.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","IL-13","43.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0841","V-PLEX Proinfammatory P1  QC2 (M)","TNF-a","16.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IFN-g","40.3","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-1b","10.6","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-2","3.33","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-4","3.02","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-6","7.51","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-8","6.62","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-10","3.9","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-12p70","6.42","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","IL-13","11.8","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0842","V-PLEX Proinfammatory P1  QC3 (L)","TNF-a","2.03","pg/ml","Purchased","Mesoscale","C4049-1","2027-07-31","",""
"A00C0876","V-PLEX Vascular Injury P2 QC1 (H)","SAA","60700","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0876","V-PLEX Vascular Injury P2 QC1 (H)","CRP","23600","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0876","V-PLEX Vascular Injury P2 QC1 (H)","VCAM-1","12400","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0876","V-PLEX Vascular Injury P2 QC1 (H)","ICAM-1","11500","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0877","V-PLEX Vascular Injury P2 QC2 (M)","SAA","5520","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0877","V-PLEX Vascular Injury P2 QC2 (M)","CRP","4680","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0877","V-PLEX Vascular Injury P2 QC2 (M)","VCAM-1","1130","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0877","V-PLEX Vascular Injury P2 QC2 (M)","ICAM-1","1200","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0878","V-PLEX Vascular Injury P2 QC3 (L)","SAA","305","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0878","V-PLEX Vascular Injury P2 QC3 (L)","CRP","507","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0878","V-PLEX Vascular Injury P2 QC3 (L)","VCAM-1","135","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"A00C0878","V-PLEX Vascular Injury P2 QC3 (L)","ICAM-1","139","pg/ml","Purchased","Mesoscale","C4687-1","2025-07-31","",""
"P214787","ELISA CD14 QC1 (H)","CD14","4009","pg/ml","Purchased","R&D Systems","QC20","","",""
"P214783","ELISA CD14 QC2 (M)","CD14","2065","pg/ml","Purchased","R&D Systems","QC20","","",""
"P214780","ELISA CD14 QC3 (L)","CD14","808.5","pg/ml","Purchased","R&D Systems","QC20","","",""
"Prep20230925_LPS-H","ELISA LPS QC1 (H)","LPS","75","ng/ml","Home made","","","","2023-09-25",""
"Prep20230925_LPS-M","ELISA LPS QC2 (M)","LPS","30","ng/ml","Home made","","","","2023-09-25",""
"Prep20230925_LPS-L","ELISA LPS QC3 (L)","LPS","10","ng/ml","Home made","","","","2023-09-25",""
"Prep20230929_LPS-H","ELISA LPS QC1 (H)","LPS","75","ng/ml","Home made","","","","2023-09-29",""
"Prep20230929_LPS-M","ELISA LPS QC2 (M)","LPS","30","ng/ml","Home made","","","","2023-09-29",""
"Prep20230929_LPS-L","ELISA LPS QC3 (L)","LPS","10","ng/ml","Home made","","","","2023-09-29",""
"Prep20230908_Zonu-H","ELISA Zonulin QC1 (H)","Zonulin","15","ng/ml","Home made","","","","2023-09-08",""
"Prep20230908_Zonu-M","ELISA Zonulin QC2 (M)","Zonulin","5","ng/ml","Home made","","","","2023-09-08",""
"Prep20230908_Zonu-L","ELISA Zonulin QC3 (L)","Zonulin","1","ng/ml","Home made","","","","2023-09-08",""
"1682037","ELISA BAFF QC1 (H)","BAFF","2312","pg/ml","Purchased","R&D Systems","QC46","","",""
"1682036","ELISA BAFF QC2 (M)","BAFF","1189.5","pg/ml","Purchased","R&D Systems","QC46","","",""
"1682035","ELISA BAFF QC3 (L)","BAFF","514.5","pg/ml","Purchased","R&D Systems","QC46","","",""
"Y-017407","ELISA B2M QC1 (H)","B2M","1.54","mg/L","Purchased","BioVendor","D1405","","",""
"Y-017407(1/2)","ELISA B2M QC2 (M)","B2M","0.77","mg/L","Home made","","D1405(1/2)","","",""
"Y-017408","ELISA B2M QC3 (L)","B2M","0.27","mg/L","Purchased","BioVendor","D1406","","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IFN-g","523","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-1b","225","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-2","329","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-4","112","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-6","229","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-8","297","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-10","137","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-12p70","177","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","IL-13","156","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
"A00C0870","V-PLEX Proinfammatory P1  QC1 (H)","TNF-a","81.5","pg/ml","Purchased","Mesoscale","C4049-1","2028-02-29","",""
