"lot_number","qc_name","analyte","concentration","unit","qc_type","manufacturer","cat_number","expiration_date","preparation_date","note"
"Prep20210401_BAFF-H","ELISA BAFF QC1 (H)","BAFF","2193","","Home made","","","","2021-04-01","prep by Jihène. Use Std"
"Prep20210401_BAFF-M","ELISA BAFF QC2 (M)","BAFF","1138","","Home made","","","","2021-04-01","prep by Jihène. Use Std"
"Prep20210401_BAFF-L","ELISA BAFF QC3 (L)","BAFF","472","","Home made","","","","2021-04-01","prep by Jihène. Use Std"
"FreshApoE-H_0.8","ELISA ApoE QC1 (H)","ApoE","0.8","µg/ml","Home made","","","","","prep by Jihène. Use Std"
"FreshApoE-M_0.4","ELISA ApoE QC2 (M)","ApoE","0.4","µg/ml","Home made","","","","","prep by Jihène. Use Std"
"FreshApoE-L_0.08","ELISA ApoE QC3 (L)","ApoE","0.08","µg/ml","Home made","","","","","prep by Jihène. Use Std"
"FreshS100B-H_4","ELISA S100B QC1 (H)","S100B","4","ng/ml","Home made","","","","",""
"FreshS100B-M_0.8","ELISA S100B QC2 (M)","S100B","0.8","ng/ml","Home made","","","","",""
"FreshS100B-L_0.2","ELISA S100B QC3 (L)","S100B","0.2","ng/ml","Home made","","","","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IFN-g","404","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-1b","629","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-2","825","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-4","434","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-5","376","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-6","1740","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","KC/GRO","663","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-10","1010","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","IL-12p70","14300","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0736","V-PLEX Proinfammatory P1 Mouse QC1 (H)","TNF-a","149","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IFN-g","30.8","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-1b","46.1","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-2","64.2","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-4","74.6","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
"A00C0737","V-PLEX Proinfammatory P1 Mouse QC2 (M)","IL-5","58.1","pg/ml","Purchased","Mesoscale","C0048-1","2025-09-30","",""
